,name,handedness,height,weight,avg,HR,weight_height
0,Tom Brown,R,73,170,0.0,0,0.819047619048
1,Denny Lemaster,R,73,182,0.13,4,0.933333333333
2,Joe Nolan,L,71,175,0.263,27,0.733333333333
3,Denny Doyle,L,69,175,0.25,16,0.6
4,Jose Cardenal,R,70,150,0.275,138,0.428571428571
5,Mike Ryan,R,74,205,0.193,28,1.21904761905
6,Fritz Peterson,B,72,185,0.159,2,0.895238095238
7,Dick Bertell,R,72,200,0.25,10,1.0380952381
8,Rod Kanehl,R,73,180,0.241,6,0.914285714286
9,Ozzie Osborn,R,74,195,0.0,0,1.12380952381
10,John LaRose,L,73,185,0.0,0,0.961904761905
11,Jeff Byrd,R,75,195,0.0,0,1.19047619048
12,Juan Bonilla,R,69,170,0.256,7,0.552380952381
13,Frank Tepedino,L,71,185,0.241,6,0.828571428571
14,Jerry Kutzler,L,73,175,0.0,0,0.866666666667
15,Rick Wise,R,73,180,0.195,15,0.914285714286
16,Darrell Evans,L,74,200,0.248,414,1.17142857143
17,Buck Martinez,R,70,190,0.225,58,0.809523809524
18,John Wockenfuss,R,72,190,0.262,86,0.942857142857
19,Tommy McCraw,L,72,183,0.246,75,0.87619047619
20,Jeff Barkley,B,75,185,0.0,0,1.09523809524
21,Eric Wilkins,R,73,190,0.0,0,1.00952380952
22,Britt Burns,L,77,215,0.0,0,1.51428571429
23,Lee Lacy,R,73,175,0.286,91,0.866666666667
24,Pete Rose,B,71,192,0.303,160,0.895238095238
25,Danny Walton,R,72,195,0.223,28,0.990476190476
26,Bobby Cox,R,71,180,0.225,9,0.780952380952
27,Brad Wellman,R,72,170,0.231,6,0.752380952381
28,Jeff Newman,R,74,215,0.224,63,1.31428571429
29,Pedro Gonzalez,R,72,176,0.244,8,0.809523809524
30,Nardi Contreras,B,74,193,0.0,0,1.10476190476
31,Tommie Reynolds,R,74,190,0.226,12,1.07619047619
32,Gene Clines,R,69,170,0.277,5,0.552380952381
33,Jim Hickman,R,75,192,0.252,159,1.1619047619
34,Jack Billingham,R,76,195,0.111,0,1.25714285714
35,Jerry Buchek,R,71,185,0.22,22,0.828571428571
36,Ivan DeJesus,R,71,175,0.254,21,0.733333333333
37,Gary Nolan,R,74,197,0.138,1,1.14285714286
38,Gil Patterson,R,73,185,0.0,0,0.961904761905
39,Fred Whitfield,L,73,190,0.253,108,1.00952380952
40,Larry Dierker,R,76,215,0.136,4,1.44761904762
41,Dave Skaggs,R,74,200,0.241,3,1.17142857143
42,Dick Ruthven,R,75,190,0.183,1,1.14285714286
43,Jerry Garvin,L,75,195,0.0,0,1.19047619048
44,Steve Eddy,R,74,185,0.0,0,1.02857142857
45,Dave Kingman,R,78,210,0.236,442,1.53333333333
46,Eric Soderholm,R,71,187,0.264,102,0.847619047619
47,Kevin Mmahat,L,77,220,0.0,0,1.5619047619
48,Ed Brinkman,R,72,170,0.224,60,0.752380952381
49,Wayne Garrett,L,71,175,0.239,61,0.733333333333
50,Tony Muser,L,74,180,0.259,7,0.980952380952
51,Jim Siwy,R,76,200,0.0,0,1.30476190476
52,Bud Anderson,R,75,210,0.0,0,1.33333333333
53,Ted Ford,R,70,180,0.219,17,0.714285714286
54,Kevin Stanfield,L,72,190,0.0,0,0.942857142857
55,Jim Lyttle,L,72,180,0.248,9,0.847619047619
56,John Butcher,R,76,185,0.0,0,1.1619047619
57,Jerry Ujdur,R,73,195,0.0,0,1.05714285714
58,Scot Thompson,L,75,195,0.262,5,1.19047619048
59,Gene Locklear,L,70,165,0.274,9,0.571428571429
60,Bo Diaz,R,71,185,0.255,87,0.828571428571
61,Bump Wills,B,69,172,0.266,36,0.571428571429
62,Brian Denman,R,76,205,0.0,0,1.35238095238
63,Pat Putnam,L,72,205,0.255,63,1.08571428571
64,Kurt Bevacqua,R,72,180,0.236,27,0.847619047619
65,Bob Fallon,L,75,200,0.0,0,1.2380952381
66,Syd O'Brien,R,73,185,0.23,24,0.961904761905
67,Chris Chambliss,L,73,195,0.279,185,1.05714285714
68,Tom Satriano,L,73,185,0.225,21,0.961904761905
69,Jeffrey Leonard,R,74,200,0.266,144,1.17142857143
70,Dal Maxvill,R,71,157,0.217,6,0.561904761905
71,Steve Curry,R,78,217,0.0,0,1.6
72,Cesar Tovar,R,69,155,0.278,46,0.409523809524
73,Mickey Lolich,B,73,170,0.11,0,0.819047619048
74,Ray Chadwick,B,74,180,0.0,0,0.980952380952
75,Jack Heidemann,R,72,175,0.211,9,0.8
76,Rich Rollins,R,70,185,0.269,77,0.761904761905
77,Walt Bond,L,79,228,0.256,41,1.77142857143
78,Merv Rettenmund,R,70,190,0.271,66,0.809523809524
79,Bryan Clutterbuck,R,76,223,0.0,0,1.52380952381
80,Byron Browne,R,74,190,0.236,30,1.07619047619
81,Hector Torres,R,72,175,0.216,18,0.8
82,Walt Williams,R,66,165,0.27,33,0.304761904762
83,Jerry Koosman,R,74,205,0.119,2,1.21904761905
84,Steve Lombardozzi,R,72,175,0.233,20,0.8
85,Joe Azcue,R,72,190,0.252,50,0.942857142857
86,Elliott Maddox,R,71,180,0.261,18,0.780952380952
87,Omar Moreno,L,74,180,0.252,37,0.980952380952
88,Julian Javier,R,73,175,0.257,78,0.866666666667
89,Tony Ferreira,L,73,160,0.0,0,0.72380952381
90,Elio Chacon,R,69,160,0.232,4,0.457142857143
91,Rusty Torres,B,70,175,0.212,35,0.666666666667
92,John Stearns,R,72,185,0.26,46,0.895238095238
93,Larry Brown,R,70,160,0.233,47,0.52380952381
94,Tommy Dean,R,72,165,0.18,4,0.704761904762
95,Bryan Oelkers,L,75,192,0.0,0,1.1619047619
96,Kevin Bearse,L,74,195,0.0,0,1.12380952381
97,Marty Martinez,B,72,170,0.243,0,0.752380952381
98,Bruce Boisclair,L,74,185,0.263,10,1.02857142857
99,Ken Singleton,B,76,210,0.282,246,1.4
100,Frank White,R,71,165,0.255,160,0.638095238095
101,Jim Fairey,L,70,190,0.235,7,0.809523809524
102,Jose Roman,R,72,175,0.0,0,0.8
103,Tom Brookens,R,70,165,0.246,71,0.571428571429
104,Gary Thomasson,L,73,180,0.249,61,0.914285714286
105,Mike Trujillo,R,73,180,0.0,0,0.914285714286
106,Albert Williams,R,76,190,0.0,0,1.20952380952
107,Oswaldo Peraza,R,76,172,0.0,0,1.0380952381
108,Otto Velez,R,72,170,0.251,78,0.752380952381
109,Tony Scott,B,72,164,0.249,17,0.695238095238
110,Ray Oyler,R,71,165,0.175,15,0.638095238095
111,Barry Cort,R,77,210,0.0,0,1.46666666667
112,Floyd Robinson,L,69,175,0.283,67,0.6
113,Steve Jeltz,B,71,180,0.21,5,0.780952380952
114,Lou Brock,L,71,170,0.293,149,0.685714285714
115,Bill Wilkinson,R,70,160,0.0,0,0.52380952381
116,Joe Lovitto,B,72,185,0.216,4,0.895238095238
117,Mike Loynd,R,76,210,0.0,0,1.4
118,Wayne Comer,R,70,175,0.229,16,0.666666666667
119,Dave Collins,B,71,175,0.272,32,0.733333333333
120,Ed Spiezio,R,71,180,0.238,39,0.780952380952
121,Rico Petrocelli,R,72,175,0.251,210,0.8
122,Johnny Lewis,L,73,189,0.227,22,1.0
123,Dick Simpson,R,76,176,0.207,15,1.07619047619
124,Ken Boswell,L,72,170,0.248,31,0.752380952381
125,Ken McMullen,R,75,190,0.248,156,1.14285714286
126,Randy Scarbery,B,73,185,0.0,0,0.961904761905
127,Steve Swisher,R,74,205,0.216,20,1.21904761905
128,Ben Callahan,R,79,230,0.0,0,1.79047619048
129,Dick Howser,R,68,155,0.248,16,0.342857142857
130,Manny Castillo,B,69,160,0.242,3,0.457142857143
131,Mike Ramsey,B,73,170,0.24,2,0.819047619048
132,Willie Crawford,L,73,197,0.268,86,1.07619047619
133,Bobby Cuellar,R,71,188,0.0,0,0.857142857143
134,Willie Norwood,R,72,185,0.242,18,0.895238095238
135,Mike Jones,L,78,215,0.0,0,1.58095238095
136,Jeff Stone,L,72,175,0.277,11,0.8
137,Ramon Manon,R,72,150,0.0,0,0.561904761905
138,Joe Lahoud,L,73,198,0.223,65,1.08571428571
139,Tim Flannery,L,71,175,0.255,9,0.733333333333
140,Dave McKay,B,73,195,0.229,21,1.05714285714
141,John Trautwein,R,75,205,0.0,0,1.28571428571
142,Andy Replogle,R,77,205,0.0,0,1.41904761905
143,Zach Crouch,L,75,180,0.0,0,1.04761904762
144,Benny Ayala,R,73,185,0.251,38,0.961904761905
145,Ron Romanick,R,76,195,0.0,0,1.25714285714
146,Greg Gross,L,70,160,0.287,7,0.52380952381
147,Bruce Tanner,L,75,220,0.0,0,1.42857142857
148,Sal Butera,R,72,190,0.227,8,0.942857142857
149,Jack Brohamer,L,70,165,0.245,30,0.571428571429
150,Von Joshua,L,70,170,0.273,30,0.619047619048
151,Eddie Milner,L,71,173,0.253,42,0.714285714286
152,Johnny Jeter,R,73,180,0.244,18,0.914285714286
153,Angel Salazar,R,72,180,0.212,2,0.847619047619
154,Tony Oliva,L,73,175,0.304,220,0.866666666667
155,Cito Gaston,R,75,190,0.256,91,1.14285714286
156,Cookie Rojas,R,70,160,0.263,54,0.52380952381
157,Rich Morales,R,71,170,0.195,6,0.685714285714
158,Dave Ford,R,76,190,0.0,0,1.20952380952
159,Dan Ford,R,73,185,0.27,121,0.961904761905
160,Barry Raziano,B,70,175,0.0,0,0.666666666667
161,Darryl Motley,R,69,196,0.243,44,0.8
162,Ozzie Virgil,R,73,180,0.243,98,0.914285714286
163,Johnny Oates,L,71,188,0.25,14,0.857142857143
164,Pat Underwood,L,72,175,0.0,0,0.8
165,Mike Phillips,L,72,170,0.24,11,0.752380952381
166,Ron Santo,R,72,190,0.277,342,0.942857142857
167,Jay Johnstone,L,73,175,0.267,102,0.866666666667
168,Jim Ray Hart,R,71,185,0.278,170,0.828571428571
169,Marc Hill,R,75,205,0.223,34,1.28571428571
170,Joel McKeon,L,72,185,0.0,0,0.895238095238
171,Danny Fife,R,75,175,0.0,0,1.0
172,Chico Salmon,R,70,160,0.249,31,0.52380952381
173,Joe Niekro,R,73,185,0.156,1,0.961904761905
174,Andy Etchebarren,R,73,190,0.235,49,1.00952380952
175,Ken Berry,R,72,175,0.255,58,0.8
176,Dave Concepcion,R,74,155,0.267,101,0.742857142857
177,Junior Moore,R,71,185,0.264,7,0.828571428571
178,Mike Richardt,R,72,170,0.226,4,0.752380952381
179,Chris Brown,R,72,185,0.269,38,0.895238095238
180,Al Bumbry,L,68,170,0.281,54,0.485714285714
181,Al Downing,R,71,175,0.127,2,0.733333333333
182,Bob Didier,B,72,190,0.229,0,0.942857142857
183,Jake Gibbs,L,72,180,0.233,25,0.847619047619
184,Garry Hancock,L,72,175,0.247,12,0.8
185,Ed Kranepool,L,75,205,0.261,118,1.28571428571
186,Rick Rhoden,R,75,195,0.238,9,1.19047619048
187,Denny McLain,R,73,185,0.133,1,0.961904761905
188,Chuck Hiller,L,71,170,0.243,20,0.685714285714
189,Jorge Orta,L,70,170,0.278,130,0.619047619048
190,Dave Cash,R,71,170,0.283,21,0.685714285714
191,Bucky Dent,R,69,170,0.247,40,0.552380952381
192,Andy Beene,R,75,205,0.0,0,1.28571428571
193,Bruce Robbins,L,73,190,0.0,0,1.00952380952
194,Tony Gonzalez,L,69,170,0.286,103,0.552380952381
195,Leon Hooten,R,71,180,0.0,0,0.780952380952
196,Larry Haney,R,74,195,0.215,12,1.12380952381
197,Billy Conigliaro,R,72,180,0.256,40,0.847619047619
198,Gary Roenicke,R,75,205,0.247,121,1.28571428571
199,Don Lock,R,74,195,0.238,122,1.12380952381
200,Billy Cowan,R,72,170,0.236,40,0.752380952381
201,Billy Smith,B,74,185,0.23,17,1.02857142857
202,Allan Ramirez,R,70,180,0.0,0,0.714285714286
203,Tony Perez,R,74,175,0.279,379,0.933333333333
204,Chuck Schilling,R,70,160,0.239,23,0.52380952381
205,Hal McRae,R,71,180,0.29,191,0.780952380952
206,Dave Roberts,R,75,215,0.239,49,1.38095238095
207,Brian Allard,R,73,175,0.0,0,0.866666666667
208,Jim Lefebvre,B,72,180,0.251,74,0.847619047619
209,Fernando Arroyo,R,74,180,0.0,0,0.980952380952
210,Gary Beare,R,76,205,0.0,0,1.35238095238
211,Charlie Spikes,R,75,215,0.246,65,1.38095238095
212,Brian Dubois,L,70,165,0.0,0,0.571428571429
213,Steve Whitaker,L,72,180,0.23,24,0.847619047619
214,Manny Jimenez,L,73,185,0.272,26,0.961904761905
215,Chris Batton,R,76,195,0.0,0,1.25714285714
216,Duffy Dyer,R,72,187,0.221,30,0.914285714286
217,Ken Henderson,B,74,180,0.257,122,0.980952380952
218,Vance Lovelace,L,77,205,0.0,0,1.41904761905
219,Greg Thayer,R,71,182,0.0,0,0.8
220,Vern Fuller,R,73,170,0.232,14,0.819047619048
221,Paul Hartzell,R,77,200,0.0,0,1.37142857143
222,Wayne Gross,L,74,210,0.233,121,1.26666666667
223,Mike Champion,R,72,185,0.229,2,0.895238095238
224,Ralph Botting,L,72,195,0.0,0,0.990476190476
225,Paul Casanova,R,76,180,0.225,50,1.11428571429
226,Steve Rogers,R,74,175,0.138,0,0.933333333333
227,Keith Creel,R,74,180,0.0,0,0.980952380952
228,Terry Crowley,L,72,180,0.25,42,0.847619047619
229,Horace Clarke,B,69,170,0.256,27,0.552380952381
230,Lou Clinton,R,73,185,0.247,65,0.961904761905
231,Larry Cox,R,70,178,0.221,12,0.695238095238
232,Nate Colbert,R,74,190,0.243,173,1.07619047619
233,Phil Roof,R,74,190,0.215,43,1.07619047619
234,Chuck Hinton,R,73,180,0.264,113,0.914285714286
235,Tim Cullen,R,73,185,0.22,9,0.961904761905
236,Tim Harkness,L,74,182,0.235,14,1.0
237,Rick Bosetti,R,71,185,0.25,17,0.828571428571
238,Ron Pruitt,R,72,185,0.269,12,0.895238095238
239,George Foster,R,73,180,0.274,348,0.914285714286
240,Jerry White,B,70,164,0.253,21,0.561904761905
241,Angel Mangual,R,70,178,0.245,22,0.695238095238
242,Ken Gerhart,R,72,190,0.221,24,0.942857142857
243,Mike Hershberger,R,70,175,0.252,26,0.666666666667
244,Jim French,L,68,180,0.196,5,0.580952380952
245,Dave Roberts,L,75,195,0.194,7,1.19047619048
246,Jim Mason,L,74,185,0.203,12,1.02857142857
247,Mike Smith,R,75,180,0.0,0,1.04761904762
248,Willie Smith,L,72,182,0.248,46,0.866666666667
249,T.R. Bryden,R,76,190,0.0,0,1.20952380952
250,Jose Arcia,R,75,170,0.215,1,0.952380952381
251,Leon Durham,L,73,185,0.277,147,0.961904761905
252,Tom Makowski,R,71,185,0.0,0,0.828571428571
253,Paul Householder,B,72,180,0.236,29,0.847619047619
254,Aurelio Rodriguez,R,70,180,0.237,124,0.714285714286
255,Jimmy Stewart,B,72,165,0.237,8,0.704761904762
256,Dick Phillips,L,72,180,0.229,12,0.847619047619
257,Andres Thomas,R,73,170,0.234,42,0.819047619048
258,Ed Crosby,L,74,175,0.22,0,0.933333333333
259,Mike de la Hoz,R,71,175,0.251,25,0.733333333333
260,Frank Taveras,R,72,155,0.255,2,0.609523809524
261,Joe Nossek,R,72,178,0.228,3,0.828571428571
262,Larry Stahl,L,72,175,0.232,36,0.8
263,Jose Cruz,L,72,170,0.284,165,0.752380952381
264,Don Mason,L,71,160,0.205,3,0.590476190476
265,Bill Robinson,R,74,189,0.258,166,1.06666666667
266,Jim Umbarger,L,78,200,0.0,0,1.4380952381
267,Sal Bando,R,72,195,0.254,242,0.990476190476
268,George Mitterwald,R,74,195,0.236,76,1.12380952381
269,Mike Darr,R,76,190,0.0,0,1.20952380952
270,Craig Robinson,R,70,165,0.219,0,0.571428571429
271,Bob Tillman,R,76,205,0.232,79,1.35238095238
272,Curt Wardle,L,77,220,0.0,0,1.5619047619
273,Pat Corrales,R,72,180,0.216,4,0.847619047619
274,Mike Tyson,R,69,170,0.241,27,0.552380952381
275,Rafael Landestoy,B,70,165,0.237,4,0.571428571429
276,Duane Josephson,R,72,190,0.258,23,0.942857142857
277,Duane Walker,L,72,185,0.229,24,0.895238095238
278,Glenn Hubbard,R,69,150,0.244,70,0.361904761905
279,Roger Freed,R,72,190,0.245,22,0.942857142857
280,George Hendrick,R,75,195,0.278,267,1.19047619048
281,Rod Carew,L,72,170,0.328,92,0.752380952381
282,Bob Davis,R,72,180,0.197,6,0.847619047619
283,Toby Harrah,R,72,175,0.264,195,0.8
284,Rick Manning,L,73,180,0.257,56,0.914285714286
285,Israel Sanchez,L,69,170,0.0,0,0.552380952381
286,Steve Burke,B,74,200,0.0,0,1.17142857143
287,Gary Matthews,R,74,185,0.281,234,1.02857142857
288,Cesar Geronimo,L,72,165,0.258,51,0.704761904762
289,Billy Bryan,L,76,200,0.216,41,1.30476190476
290,Terry Taylor,R,73,180,0.0,0,0.914285714286
291,Terry Whitfield,L,73,197,0.281,33,1.07619047619
292,Mario Mendoza,R,71,170,0.215,4,0.685714285714
293,Fred Lynn,L,73,185,0.283,306,0.961904761905
294,Larry Hisle,R,74,193,0.273,166,1.10476190476
295,Graig Nettles,L,72,180,0.248,390,0.847619047619
296,Randy Nosek,R,76,215,0.0,0,1.44761904762
297,Dave Engle,R,75,210,0.262,31,1.33333333333
298,Narciso Elvira,L,70,160,0.0,0,0.52380952381
299,Mike Easler,L,72,190,0.293,118,0.942857142857
300,Mark Smith,R,74,215,0.0,0,1.31428571429
301,Paul Mitchell,R,73,195,0.0,0,1.05714285714
302,Rick Sweet,B,73,200,0.234,6,1.10476190476
303,Thurman Munson,R,71,190,0.292,113,0.87619047619
304,Rick Monday,L,75,193,0.264,241,1.17142857143
305,Mike Sadek,R,69,165,0.226,5,0.504761904762
306,Mark Belanger,R,73,170,0.228,20,0.819047619048
307,Ron Hunt,R,72,186,0.273,39,0.904761904762
308,Joe Keough,L,72,185,0.246,9,0.895238095238
309,Butch Edge,R,75,203,0.0,0,1.26666666667
310,Vic Correll,R,70,185,0.229,29,0.761904761905
311,Jackie Hernandez,R,71,165,0.208,12,0.638095238095
312,Tony Solaita,L,72,210,0.255,50,1.13333333333
313,U L Washington,B,71,175,0.251,27,0.733333333333
314,Gary Mielke,R,75,185,0.0,0,1.09523809524
315,Rick Henninger,R,78,225,0.0,0,1.67619047619
316,Joe Foy,R,72,215,0.248,58,1.18095238095
317,Ed Goodson,L,75,180,0.26,30,1.04761904762
318,Mark Brown,B,74,190,0.0,0,1.07619047619
319,Mickey Klutts,R,71,170,0.241,14,0.685714285714
320,Leroy Stanton,R,73,195,0.244,77,1.05714285714
321,Rafael Vasquez,R,72,160,0.0,0,0.657142857143
322,Len Whitehouse,L,71,175,0.0,0,0.733333333333
323,Danny Ainge,R,76,175,0.22,2,1.06666666667
324,Adolfo Phillips,R,73,175,0.247,59,0.866666666667
325,Marv Breeding,R,72,175,0.25,7,0.8
326,Steve Adkins,R,78,210,0.0,0,1.53333333333
327,Dick McAuliffe,L,71,176,0.247,197,0.742857142857
328,Joe Horlen,R,72,170,0.134,0,0.752380952381
329,Glenn Burke,R,72,195,0.237,2,0.990476190476
330,Tony Mack,R,70,177,0.0,0,0.685714285714
331,Terry Humphrey,R,75,185,0.211,6,1.09523809524
332,Bill Moran,R,76,210,0.0,0,1.4
333,Enzo Hernandez,R,68,155,0.224,2,0.342857142857
334,Cesar Gutierrez,R,69,155,0.235,0,0.409523809524
335,Coco Laboy,R,70,165,0.233,28,0.571428571429
336,Ted Kubiak,B,72,175,0.231,13,0.8
337,Jim Morrison,R,71,175,0.26,112,0.733333333333
338,Tom Gilles,R,73,185,0.0,0,0.961904761905
339,Bobby Knoop,R,73,170,0.236,56,0.819047619048
340,Bobby Brown,B,74,190,0.245,26,1.07619047619
341,Tom Hutton,L,71,180,0.248,22,0.780952380952
342,Ron Hodges,L,73,185,0.24,19,0.961904761905
343,Rich Chiles,L,71,170,0.254,6,0.685714285714
344,Tom Paciorek,R,76,215,0.282,86,1.44761904762
345,Gary Woods,R,74,185,0.243,13,1.02857142857
346,Bob Montgomery,R,73,195,0.258,23,1.05714285714
347,Jeff Burroughs,R,73,200,0.261,240,1.10476190476
348,Rusty Staub,L,74,190,0.279,292,1.07619047619
349,Jim Norris,L,70,175,0.264,7,0.666666666667
350,Oscar Gamble,L,71,160,0.265,200,0.590476190476
351,Bob Kammeyer,R,76,210,0.0,0,1.4
352,George Vukovich,L,72,198,0.268,27,1.01904761905
353,Joe Pactwa,L,71,185,0.0,0,0.828571428571
354,Craig Reynolds,L,73,175,0.256,42,0.866666666667
355,Paul Blair,R,72,168,0.25,134,0.733333333333
356,Al Cowens,R,73,197,0.27,108,1.07619047619
357,Al Oliver,L,72,195,0.303,219,0.990476190476
358,Dave Hilton,R,71,191,0.213,6,0.885714285714
359,Luis Alvarado,R,69,162,0.214,5,0.47619047619
360,Larry Parrish,R,75,190,0.263,256,1.14285714286
361,Woodie Fryman,R,75,197,0.138,2,1.20952380952
362,Bob Randall,R,74,175,0.257,1,0.933333333333
363,Jim Pankovits,R,70,170,0.25,9,0.619047619048
364,Sherman Corbett,L,76,205,0.0,0,1.35238095238
365,Carmen Fanzone,R,72,200,0.224,20,1.0380952381
366,Gary Allenson,R,71,185,0.221,19,0.828571428571
367,Milt May,L,72,190,0.263,77,0.942857142857
368,Mike Vail,R,73,180,0.279,34,0.914285714286
369,Nick Esasky,R,75,200,0.25,122,1.2380952381
370,Jim Nettles,L,72,186,0.22,16,0.904761904762
371,Lafayette Currence,B,71,175,0.0,0,0.733333333333
372,Chris Cannizzaro,R,72,190,0.235,18,0.942857142857
373,Larry Biittner,L,74,205,0.273,29,1.21904761905
374,John Pawlowski,R,74,175,0.0,0,0.933333333333
375,Mel Stottlemyre,R,73,178,0.16,7,0.895238095238
376,Jack Hardy,R,74,175,0.0,0,0.933333333333
377,Ron Musselman,R,74,185,0.0,0,1.02857142857
378,Roy Smalley,B,73,185,0.257,163,0.961904761905
379,Tony Chevez,R,71,177,0.0,0,0.752380952381
380,Andy Messersmith,R,73,200,0.17,5,1.10476190476
381,Richie Zisk,R,73,200,0.287,207,1.10476190476
382,Dave Chalk,R,70,175,0.252,15,0.666666666667
383,Don Baylor,R,73,190,0.26,338,1.00952380952
384,John Vukovich,R,73,187,0.161,6,0.980952380952
385,Danny Thompson,R,72,183,0.248,15,0.87619047619
386,Joe Simpson,L,75,175,0.242,9,1.0
